time,hex,callsign,latitude,longitude,no_position,altitude,squawk,speed,track
2021-01-09 07:28:40Z.782,0x8a030b,SJY182,-6.11106,106.66867,P,0,3327,1,64
2021-01-09 07:28:44Z.578,0x8a030b,SJY182,-6.11105,106.66869,P,0,3327,1,64
2021-01-09 07:28:46Z.382,0x8a030b,SJY182,-6.11105,106.6687,P,0,3327,1,64
2021-01-09 07:28:49Z.908,0x8a030b,SJY182,0,0,P,0,3327,1,64
2021-01-09 07:28:53Z.632,0x8a030b,SJY182,0,0,P,0,3327,1,64
2021-01-09 07:28:55Z.878,0x8a030b,SJY182,0,0,P,0,3327,1,64
2021-01-09 07:28:58Z.404,0x8a030b,SJY182,0,0,P,0,3327,1,64
2021-01-09 07:29:01Z.916,0x8a030b,SJY182,0,0,P,0,3327,1,64
2021-01-09 07:29:05Z.648,0x8a030b,SJY182,0,0,P,0,3327,1,64
2021-01-09 07:29:08Z.624,0x8a030b,SJY182,0,0,P,0,3327,1,64
2021-01-09 07:29:10Z.878,0x8a030b,SJY182,0,0,P,0,3327,1,64
2021-01-09 07:29:14Z.638,0x8a030b,SJY182,0,0,P,0,3327,1,64
